<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20210920,000000,164250.000000,164250.000000,161760.000000,161760.000000,4.000000
RIU2 [SPBFUT],Daily,20210921,000000,163530.000000,163530.000000,163530.000000,163530.000000,1.000000
RIU2 [SPBFUT],Daily,20210922,000000,165600.000000,165600.000000,165600.000000,165600.000000,1.000000
RIU2 [SPBFUT],Daily,20210924,000000,166750.000000,166750.000000,166340.000000,166340.000000,3.000000
RIU2 [SPBFUT],Daily,20210927,000000,169300.000000,169690.000000,169010.000000,169690.000000,4.000000
RIU2 [SPBFUT],Daily,20210929,000000,167730.000000,168500.000000,166810.000000,167900.000000,45.000000
RIU2 [SPBFUT],Daily,20210930,000000,168660.000000,170000.000000,168660.000000,170000.000000,2.000000
RIU2 [SPBFUT],Daily,20211001,000000,170090.000000,170090.000000,170090.000000,170090.000000,1.000000
RIU2 [SPBFUT],Daily,20211004,000000,171140.000000,171140.000000,171140.000000,171140.000000,1.000000
RIU2 [SPBFUT],Daily,20211005,000000,171800.000000,175740.000000,171800.000000,175490.000000,7.000000
RIU2 [SPBFUT],Daily,20211006,000000,174700.000000,174700.000000,174700.000000,174700.000000,2.000000
RIU2 [SPBFUT],Daily,20211008,000000,178320.000000,178320.000000,178320.000000,178320.000000,1.000000
RIU2 [SPBFUT],Daily,20211011,000000,179720.000000,183450.000000,179720.000000,180500.000000,6.000000
RIU2 [SPBFUT],Daily,20211015,000000,181280.000000,181530.000000,181150.000000,181150.000000,3.000000
RIU2 [SPBFUT],Daily,20211018,000000,180840.000000,180840.000000,179550.000000,179550.000000,3.000000
RIU2 [SPBFUT],Daily,20211021,000000,180160.000000,180160.000000,180160.000000,180160.000000,1.000000
RIU2 [SPBFUT],Daily,20211026,000000,185250.000000,185260.000000,185250.000000,185260.000000,2.000000
RIU2 [SPBFUT],Daily,20211027,000000,181530.000000,181530.000000,180390.000000,180390.000000,4.000000
RIU2 [SPBFUT],Daily,20211103,000000,174880.000000,174880.000000,174880.000000,174880.000000,1.000000
RIU2 [SPBFUT],Daily,20211105,000000,177100.000000,177100.000000,176800.000000,176800.000000,71.000000
RIU2 [SPBFUT],Daily,20211108,000000,178730.000000,178730.000000,178720.000000,178720.000000,112.000000
RIU2 [SPBFUT],Daily,20211109,000000,180330.000000,180330.000000,178190.000000,178190.000000,2.000000
RIU2 [SPBFUT],Daily,20211110,000000,178930.000000,179300.000000,177000.000000,177000.000000,62.000000
RIU2 [SPBFUT],Daily,20211111,000000,177500.000000,177500.000000,177500.000000,177500.000000,1.000000
RIU2 [SPBFUT],Daily,20211115,000000,172730.000000,174680.000000,171340.000000,171700.000000,8.000000
RIU2 [SPBFUT],Daily,20211116,000000,172740.000000,172740.000000,172740.000000,172740.000000,1.000000
RIU2 [SPBFUT],Daily,20211117,000000,171700.000000,171700.000000,171700.000000,171700.000000,1.000000
RIU2 [SPBFUT],Daily,20211118,000000,172970.000000,172970.000000,170400.000000,170400.000000,4.000000
