<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIH2 [SPBFUT],Daily,20210819,000000,162000.000000,162000.000000,159390.000000,160500.000000,77.000000
RIH2 [SPBFUT],Daily,20210820,000000,160010.000000,160360.000000,158500.000000,159030.000000,31.000000
RIH2 [SPBFUT],Daily,20210823,000000,159500.000000,161400.000000,159500.000000,161360.000000,45.000000
RIH2 [SPBFUT],Daily,20210824,000000,161500.000000,162110.000000,160680.000000,162110.000000,69.000000
RIH2 [SPBFUT],Daily,20210825,000000,161250.000000,161730.000000,160610.000000,161460.000000,22.000000
RIH2 [SPBFUT],Daily,20210826,000000,160500.000000,160640.000000,159000.000000,159000.000000,26.000000
RIH2 [SPBFUT],Daily,20210827,000000,159800.000000,162190.000000,159500.000000,162190.000000,49.000000
RIH2 [SPBFUT],Daily,20210830,000000,162500.000000,163750.000000,162350.000000,163570.000000,69.000000
RIH2 [SPBFUT],Daily,20210831,000000,163570.000000,164500.000000,163400.000000,164020.000000,48.000000
RIH2 [SPBFUT],Daily,20210901,000000,164500.000000,166960.000000,164470.000000,166960.000000,110.000000
RIH2 [SPBFUT],Daily,20210902,000000,166230.000000,167780.000000,166220.000000,166610.000000,83.000000
RIH2 [SPBFUT],Daily,20210903,000000,166800.000000,168370.000000,166460.000000,168130.000000,91.000000
RIH2 [SPBFUT],Daily,20210906,000000,167750.000000,169100.000000,167450.000000,169070.000000,100.000000
RIH2 [SPBFUT],Daily,20210907,000000,169100.000000,169560.000000,167530.000000,167570.000000,161.000000
RIH2 [SPBFUT],Daily,20210908,000000,167700.000000,168500.000000,166520.000000,168400.000000,121.000000
RIH2 [SPBFUT],Daily,20210909,000000,168190.000000,168500.000000,166810.000000,167000.000000,151.000000
RIH2 [SPBFUT],Daily,20210910,000000,167690.000000,168870.000000,167600.000000,167770.000000,102.000000
RIH2 [SPBFUT],Daily,20210913,000000,168400.000000,171030.000000,167800.000000,171030.000000,231.000000
